sr_no,practice_name,category,region,science_check,source_type,source_link,notes,
1,Neem-turmeric paste for skin infections & wounds,Home Remedies ,Maharashtra (Paniv & nearby villages),Yes - study confirms documented antimicrobial use for skin infections/wounds,Other Website,https://jpmhh.org/archive/volume/11/issue/1/article/24268,"From a 2025 study on herbal home remedies in Paniv, Maharashtra. Elderly women found to be the primary knowledge-holders; transmission mainly oral.",
2,"Tulsi (holy basil) tea/leaves for cough, cold, stress relief",Home Remedies ,Pan-India (Ayurvedic tradition),Yes - adaptogenic and immune-supporting properties documented in herbal/Ayurvedic literature,Primary,N/A,"Widely used household remedy; considered a revered plant in Ayurveda, grown in most homes.",
3,"Reading ant behaviour (climbing higher, carrying eggs) to predict rain",Folklore about weather prediction ,"Saurashtra, Gujarat","Partially - ants are known to respond to humidity/pressure shifts, though this specific reading is unvalidated",Other Website,https://thebetterindia.com/sustainability/india-oldest-rain-predicting-traditions-monsoon-forecasting-12117178,Farmers note ants climbing higher in long lines carrying eggs as a signal that rain is near.,
4,Red-wattled lapwing (Titwi) nest placement predicting monsoon timing,Folklore about weather prediction ,Maharashtra / Gujarat (Western Ghats),"Unknown - anecdotal correlation, not scientifically tested",Other Website,https://www.dnaindia.com/mumbai/report-in-cloud-cuckoo-land-birds-frogs-flying-ants-predict-rains-2750554,Nest close to water = rain expected late; nest far from water = rain expected early with rising levels.,
5,Flame-of-the-Forest seed-pod position predicting monsoon rainfall pattern,Folklore about weather prediction ,Andhra Pradesh (rural villages),"Unknown - documented folk belief, not scientifically validated",Other Website,https://thebetterindia.com/farming/traditional-indian-farmers-predicted-rain-weather-apps-12139874,Seed position (bottom/middle/top of pod) read as indicating strong rain early/mid/late monsoon; documented by agri-scientist Dr K Ravi Shankar after 3 yrs fieldwork in AP.,
6,Flowering as monsoon-onset indicator,Agriculture ,"Melghat region, Maharashtra",Partially - flowering cycles are known to correlate with seasonal temperature/moisture shifts,Other Website,https://thebetterindia.com/farming/traditional-indian-farmers-predicted-rain-weather-apps-12139874,Bahava blooms roughly 40 days before monsoon onset; used by local communities to time field preparation.,
7,Neem-leaf spray & fermented cow urine/buttermilk as organic pesticide,Agriculture ,Pan-India (traditional farming communities),Yes - neem-based biopesticides and fermented mixtures are studied and confirmed to have pest-repellent effects,Other Website,https://actizeet.org/voices-from-the-himalayas/traditional-farming-techniques-that-still-work/,Used before chemical pesticides existed; some farmers still integrate this with modern methods today.,
8,Gram Joshi / Panchang almanac reading for sowing dates,Agriculture ,"Pan-India (esp. Gujarat, Rajasthan)","Unknown - based on astronomical/astrological calculation, not empirically tested",Other Website,https://thebetterindia.com/farming/traditional-indian-farmers-predicted-rain-weather-apps-12139874,Village astrologer reads annual rainfall/crop predictions from the Panchang during the Hindu New Year; farmers plan sowing around it.,
9,"Sun-dried, salt-turmeric raw mango pickle (achaar) for long storage",Food Preservation Techniques,Gujarat,"Yes - salt, oil and acidic pickling environments are documented to inhibit microbial spoilage",Other Website,https://www.slurrp.com/article/food-preservation-a-practice-used-since-ancient-times-1676536796494,"Raw mango cleaned, sun-dried, seasoned with salt/turmeric/oil (often mustard oil) for extended shelf life.",
10,Sandong - underground pit storage of vegetables,Food Preservation Techniques,Ladakh,Yes - burying food below frost line and sealing with soil is a sound cold-storage method,Other Website,https://timeslife.com/travel/these-old-food-tricks-from-ladakh-could-help-you-save-more-than-you-think/articleshow/120208048.html,"Trenches dug in gardens, filled with bagged vegetables, sealed with soil to protect from cold, damp and pests through winter.",
11,Salting and sun-drying fish for long-term storage,Food Preservation Techniques,"Assam / Bodo community, Northeast India","Yes - salting draws out moisture, inhibiting bacterial growth; well-documented preservation science",Other Website,https://ierj.in/journal/index.php/ierj/article/download/3433/3874/7150,Fish salted then dried under sun or in a ventilated area; can be stored for months depending on salting intensity.,
12, lost-wax metal casting,Traditional Craft Knowledge,Chhattisgarh,"N/A - metallurgical craft skill, not a science-validation case",Other Website,https://kalanivas.com/blogs/news/are-indias-handicrafts-dying-here-s-what-we-re-losing,"Requires deep knowledge of metal alloys, fire management and sculptural skill built over decades; younger generations increasingly not learning it as economic viability drops.",
13,Natural dye extraction using alum (phitkari) as mordant,Traditional Craft Knowledge,Rajasthan/Gujarat (Bagru block printing region),Yes - alum's role as a mordant in dye-fixing is chemically well understood,Other Website,https://www.jaminidesign.com/en/blog/the-art-of-natural-dyeing-in-india-b95.html,Used by the Chhipa community in traditional hand block printing (Bagru); mineral-based mordant fixes natural dye colours onto cloth.,
14,Pattachitra scroll painting on cloth/palm leaf,Traditional Craft Knowledge,Odisha / West Bengal,"N/A - traditional visual art craft, not a science-validation case",Other Website,https://blog.quotes-for-free.com/the-vibrant-power-of-indian-folk-art-craft-a-journey-through-culture-and-creativity-596/,"Intricate scroll paintings depicting Mahabharata/Ramayana and Jagannath tales, created on cloth or dried palm leaves; techniques passed down strictly within family lineages.",
15,Ajwain (carom seed) water/steam for digestion and blocked nose,Home Remedies,Pan-India (household staple),Yes - thymol in ajwain has documented antiseptic/decongestant and digestive properties,Other Website,https://www.healthians.com/blog/indian-home-remedies-from-grandmas-kitchen-to-modern-medicine/,Crushed ajwain with warm water for gas/indigestion; ajwain steam inhalation used to relieve nasal congestion.,
16,Idli/dosa batter fermentation,Food Preservation Techniques,"Tamil Nadu, Karnataka, Andhra Pradesh",Yes — lactic acid bacteria fermentation improving digestibility/nutrition is well documented,Primary,N/A,Rice+lentil batter naturally fermented overnight before steaming/cooking,
17,Copper engraving,Traditional Craft Knowledge,"Rajouri Kadal, Srinagar, Kashmir","N/A - traditional visual art craft, not a science-validation case",Primary,N/A,"Hand-engraved copperware (vessels, trays, decorative items) using traditional chisel-and-hammer techniques; motifs often drawn from Kashmiri floral and geometric design traditions passed down through family workshops",
18,Kani shawl weaving (hand-loom pashmina),Traditional Craft Knowledge,"Kanihama, Kashmir","N/A - traditional visual art craft, not a science-validation case",Primary,N/A,"Uses fine pashmina wool woven on a wooden hand-loom using small wooden needles called ""kanis"" instead of a shuttle; a single shawl can take months to years to complete. Considered one of the most intricate and time-intensive weaving techniques in India.",
19,Walnut wood carving,Traditional Craft Knowledge,Kashmir ,"N/A - traditional visual art craft, not a science-validation case",Primary,N/A,"Intricate hand-carving of walnut wood (grown locally in Kashmir) into furniture, panels and decorative pieces; valued for the wood's fine grain, which allows very detailed floral and jaali (lattice) patterns.",
20,Rogan painting — castor-oil paint craft,Traditional Craft Knowledge,"Kutch region, Gujarat","N/A - traditional visual art craft, not a science-validation case",Primary,N/A,"Thick paint made from boiled castor oil and vegetable dyes, applied to fabric using a metal rod rather than a brush. Once widespread in Kutch, now practiced by only a handful of families — one of the most acutely endangered crafts on this list.",
21,Kashmiri papier-mâché,Traditional Craft Knowledge,Kashmir ,"N/A - traditional visual art craft, not a science-validation case",Primary,N/A,"Layered paper pulp moulded into decorative objects, then hand-painted with intricate floral/nature motifs. Political instability and cheap machine-made imitations have significantly reduced demand for the handmade version.",
22,wood-turning toy craft,Traditional Craft Knowledge,"Channapatna, Karnataka","N/A - traditional visual art craft, not a science-validation case",Other Website,https://india.mongabay.com/2024/01/channapatnas-traditional-artisans-toy-with-modernity,"Wood spun on a bow-driven spindle, shaped by hand, coloured with natural lac dyes. Artisan Boramma: learned from her father 20 years ago but does not want her daughters to pursue it due to low returns for the labour involved.",
23,Intercropping millets/pulses and maize/beans for soil health & pest control,Agriculture,"Pan-India (esp. Telangana, Odisha millet belt)",Yes - intercropping's benefits for soil nitrogen and natural pest control are agronomically documented,Other Website,https://www.seveneva.org/traditional-farming-practices-in-india/,Farmers plant complementary crops together (e.g. millets with pulses) instead of monocropping to maintain soil fertility without chemical inputs.,
24,Clove oil for toothache and gum pain,Home Remedies ,Pan-India (Ayurvedic tradition),Yes — eugenol in clove oil is a documented natural analgesic/antiseptic that numbs pain and reduces inflammation,Primary,N/A,"Clove oil applied directly, or a soaked cotton pellet placed near the affected tooth; long-standing Ayurvedic remedy",
25,Peacocks spreading feathers and dancing before rain,Folklore about weather prediction ,Rajasthan,Unknown — widely observed but not scientifically confirmed as a rain predictor,Other Website,https://thebetterindia.com/sustainability/india-oldest-rain-predicting-traditions-monsoon-forecasting-12117178,One of India's most recognisable monsoon folk-signs; peacocks are said to dance in the open just before a shower,
26,Garlic  and mustard oil paste for toothache,Home Remedies ,Pan-India (Ayurvedic tradition),Yes — allicin in crushed garlic shown in small clinical trials to have antibacterial/anti-inflammatory effects comparable to clove oil,Other Website,https://www.easyayurveda.com/ayurvedic-home-remedies-toothache,"Garlic crushed and mixed with mustard oil (sometimes with pepper), applied on cotton to the affected tooth for temporary pain relief",
27,Amla (Indian gooseberry) Murabba preserved in sugar syrup,Food Preservation Techniques,Pan-India moslty North India,Yes — high sugar concentration inhibiting microbial growth is a well-documented preservation method,Primary,https://twobrothersindiashop.com/blogs/food-health/the-history-and-tradition-of-amla-murabba,"Tart amla fruit preserved whole in thick sugar syrup, extending shelf life through winter and making the sour fruit palatable year-round",
28,Fenugreek (methi) seeds/powder for  digestion,Home Remedies,Pan-India,"es — documented in Ayurvedic and modern nutrition literature for improving lactation, digestion, and cholesterol; used topically on wounds in some rural households",Other Website,https://www.easyayurveda.com/fenugreek-methi-uses-research/,Seeds soaked/powdered and taken with warm water or buttermilk; also mixed into cattle feed and applied to wounds/swellings in some regions,
29,Bawdi  (stepwell) water storage,Traditional Water Management,"Rajasthan, Gujarat","Yes - stepwells provide reliable groundwater access year-round, engineering-validated",Other Website,https://ecoheritage.cpreec.org/traditional-water-harvesting-systems-of-rajasthan/,Multi-story stepped structures (dating back to ~550 AD) allowing access to groundwater at varying depths as levels fluctuate seasonally; many now abandoned or filled in due to urban development,
30,Tanka (Underground rainwater storage tank),Traditional Water Management,"Rajasthan, Gujarat",Yes - documented as effective for potable rainwater storage in arid zones,Other Website,https://thebetterindia.com/61757/traditional-water-conservation-systems-india/,Underground cylindrical tanks built to store rainwater collected from rooftops/courtyards for household drinking use through dry months; traditionally maintained by desert communities,
31,Kund (saucer-shaped rainwater catchment well),Traditional Water Management,"Rajasthan, Gujarat",Yes - functional rainwater harvesting design still referenced in modern water-conservation planning,Other Website,https://thebetterindia.com/61757/traditional-water-conservation-systems-india/,"Saucer-shaped catchment area sloping toward a central underground well, historically lime-and-ash lined for purification; earliest known examples date to 1607 AD, many now replaced with plain cement construction losing traditional building knowledge",
32,Floodplain water harvesting system,Traditional Water Management,South Bihar,Yes - documented as an effective indigenous flood-irrigation system for paddy cultivation,Other Website,https://thebetterindia.com/61757/traditional-water-conservation-systems-india/,Ahars (catchment basins) connected to pynes (diversion channels) that capture monsoon floodwater from rivers for paddy cultivation; system has significantly declined due to unmaintained channels and shifting land-use patterns,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
